review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
12150,1,TapTest_3.java,0,1,0
12907,1,CouchbaseClient_0.java,0,0,0
14959,1,ViewNode_0.java,0,0,0
14959,2,ViewNode_0.java,0,0,0
14959,3,ViewNode_0.java,0,0,0
14959,4,ViewNode_0.java,0,0,0
14959,5,ViewNode_0.java,0,0,0
19584,1,ViewNode_0.java,0,0,0
19603,1,ViewConnection_1.java,0,0,0
19603,1,ViewConnection_1.java,0,0,1
19603,1,ViewNode_2.java,0,0,0
19606,1,ViewConnection_1.java,0,0,0
19606,1,ViewConnection_1.java,0,0,1
19606,1,ViewNode_2.java,0,0,0
19606,2,ViewConnection_1.java,0,0,0
19606,2,ViewConnection_1.java,0,0,1
19606,2,ViewNode_2.java,0,0,0
19606,3,ViewConnection_1_rev_2.java,0,0,0
19606,3,ViewConnection_1_rev_2.java,0,0,1
19606,3,ViewNode_2.java,0,0,0
19840,1,TestingClient_0.java,0,1,0
19840,1,TestingClient_0.java,0,1,0
19840,1,TestingClient_0.java,0,1,0
19840,2,TestingClient_0.java,0,1,0
19840,2,TestingClient_0.java,0,1,0
19840,2,TestingClient_0.java,0,1,0
19840,3,TestingClient_0.java,0,1,0
19840,3,TestingClient_0.java,0,1,0
19840,3,TestingClient_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,1,ViewTest_0.java,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,2,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,3,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20878,4,ViewTest_0,0,1,0
20898,1,ViewTest_6.java,0,1,0
20898,1,ViewTest_5.java,0,1,0
20898,2,ViewTest_6.java,0,1,0
20898,2,ViewTest_5.java,0,1,0
20898,3,ViewTest_6.java,0,1,0
20898,3,ViewTest_5.java,0,1,0
20906,1,Query_0.java,0,0,0
21261,1,Query_1.java,0,0,1
21292,1,ComplexKeyTest_1.java,0,1,1
21305,6,ViewTest_0.java,0,1,0
21305,7,ViewTest_0.java,0,1,0
21416,1,CouchbaseClientTest_2.java,0,1,0
21416,2,CouchbaseClientTest_2_rev_1.java,0,1,0
21416,3,CouchbaseClientTest_2_rev_1.java,0,1,0
21416,4,CouchbaseClientTest_2_rev_1.java,0,1,0
22048,1,CouchbaseClient_0.java,0,0,0
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,1,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,0
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22048,2,CouchbaseClient_0.java,0,0,1
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_19.java,0,1,0
22308,1,ViewTest_18.java,0,1,0
22308,1,ViewTest_18.java,0,1,0
22308,1,ViewTest_18.java,0,1,0
22308,1,ViewTest_16.java,0,1,0
22308,1,ViewTest_16.java,0,1,0
22308,1,ViewTest_16.java,0,1,0
22308,1,CouchbaseClient_0.java,0,0,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_17.java,0,1,0
22308,1,ViewTest_14.java,0,1,0
22308,1,ViewTest_14.java,0,1,0
22308,1,ViewTest_14.java,0,1,0
22308,1,CouchbaseClient_1.java,0,0,0
22308,1,ViewTest_15.java,0,1,0
22308,1,ViewTest_15.java,0,1,0
22308,1,ViewTest_15.java,0,1,0
22308,1,ViewTest_15.java,0,1,0
22308,1,ViewTest_15.java,0,1,0
22308,1,ViewTest_15.java,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,CouchbaseClient_0.java,0,0,0
22308,2,ViewTest_18,0,1,0
22308,2,ViewTest_18,0,1,0
22308,2,ViewTest_18,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,ViewTest_19,0,1,0
22308,2,CouchbaseClient_1.java,0,0,0
22308,2,ViewTest_16,0,1,0
22308,2,ViewTest_16,0,1,0
22308,2,ViewTest_16,0,1,0
22308,2,ViewTest_14,0,1,0
22308,2,ViewTest_14,0,1,0
22308,2,ViewTest_14,0,1,0
22445,1,BucketTool_5.java,0,0,0
22445,2,BucketTool_6.java,0,0,0
22445,3,BucketTool_6,0,0,0
22445,4,BucketTool_6,0,0,0
22445,5,BucketTool_6,0,0,0
22445,6,BucketTool_6,0,0,0
22445,7,BucketTool_6,0,0,0
22563,1,CouchbaseClient_0.java,0,0,0
22563,1,CouchbaseClient_0.java,0,0,0
22563,1,CouchbaseClient_1.java,0,0,0
22563,2,CouchbaseClient_0.java,0,0,0
22563,2,CouchbaseClient_0.java,0,0,0
22563,2,CouchbaseClient_1.java,0,0,0
22563,3,CouchbaseClient_0.java,0,0,0
22563,3,CouchbaseClient_0.java,0,0,0
22563,3,CouchbaseClient_1.java,0,0,0
22563,4,CouchbaseClient_0.java,0,0,0
22563,4,CouchbaseClient_0.java,0,0,0
22563,4,CouchbaseClient_1.java,0,0,0
22998,1,CouchbaseClientTest_1.java,0,1,0
22998,2,CouchbaseClientTest_1.java,0,1,0
22998,3,CouchbaseClientTest_1.java,0,1,0
22998,4,CouchbaseClientTest_1.java,0,1,0
23021,1,VBucketCouchbaseClientTest_4.java,0,1,0
23021,1,VBucketCouchbaseClientTest_3.java,0,1,0
23021,1,VBucketCouchbaseClientTest_5.java,0,1,0
23021,2,VBucketCouchbaseClientTest_4.java,0,1,0
23021,2,VBucketCouchbaseClientTest_3.java,0,1,0
23021,2,VBucketCouchbaseClientTest_5.java,0,1,0
23021,3,VBucketCouchbaseClientTest_3_rev_2.java,0,1,0
23021,3,VBucketCouchbaseClientTest_1.java,0,1,0
23021,3,VBucketCouchbaseClientTest_2.java,0,1,0
23021,4,VBucketCouchbaseClientTest_3_rev_2.java,0,1,0
23021,4,VBucketCouchbaseClientTest_1.java,0,1,0
23021,4,VBucketCouchbaseClientTest_2.java,0,1,0
23021,5,VBucketCouchbaseClientTest_3_rev_2.java,0,1,0
23021,5,VBucketCouchbaseClientTest_1.java,0,1,0
23021,5,VBucketCouchbaseClientTest_2.java,0,1,0
23021,6,VBucketCouchbaseClientTest_1_rev_5.java,0,1,0
23021,6,VBucketCouchbaseClientTest_0.java,0,1,0
23021,7,VBucketCouchbaseClientTest_1_rev_5.java,0,1,0
23021,7,VBucketCouchbaseClientTest_0.java,0,1,0
23021,8,VBucketCouchbaseClientTest_1_rev_5.java,0,1,0
23021,8,VBucketCouchbaseClientTest_0.java,0,1,0
23021,9,VBucketCouchbaseClientTest_1_rev_5.java,0,1,0
23021,9,VBucketCouchbaseClientTest_0.java,0,1,0
23605,1,QueryTest_1.java,0,1,0
23605,2,QueryTest_1.java,0,1,0
23989,1,CouchbaseClient_4.java,0,0,0
23989,1,CouchbaseClient_0.java,0,0,0
23989,1,CouchbaseClient_0.java,0,0,0
23989,1,CouchbaseClient_1.java,0,0,0
23989,1,CouchbaseProperties_6.java,0,0,0
23989,1,CouchbaseClient_3.java,0,0,0
23989,1,CouchbaseClient_3.java,0,0,0
23989,1,CouchbaseProperties_5.java,0,0,0
23989,1,CouchbaseClient_2.java,0,0,0
23989,1,CouchbaseClient_2.java,0,0,0
23989,2,CouchbaseClient_4.java,0,0,0
23989,2,CouchbaseClient_0.java,0,0,0
23989,2,CouchbaseClient_0.java,0,0,0
23989,2,CouchbaseClient_1.java,0,0,0
23989,2,CouchbaseProperties_6.java,0,0,0
23989,2,CouchbaseClient_3.java,0,0,0
23989,2,CouchbaseClient_3.java,0,0,0
23989,2,CouchbaseProperties_5.java,0,0,0
23989,2,CouchbaseClient_2.java,0,0,0
23989,2,CouchbaseClient_2.java,0,0,0
24750,2,VBucketNodeLocator_2.java,0,0,0
24750,3,VBucketNodeLocator_2_rev_2.java,0,0,0
24750,4,VBucketNodeLocator_2_rev_2.java,0,0,0
24750,5,VBucketNodeLocator_2_rev_2.java,0,0,0
24750,6,VBucketNodeLocator_2_rev_2.java,0,0,0
24750,7,VBucketNodeLocator_3.java,0,0,0
24750,8,VBucketNodeLocator_3.java,0,0,0
24750,9,VBucketNodeLocator_3.java,0,0,0
24750,10,VBucketNodeLocator_3.java,0,0,0
24750,11,VBucketNodeLocator_3.java,0,0,0
24818,1,CouchbaseClient_0.java,0,0,0
24818,2,CouchbaseClient_0.java,0,0,0
24818,3,CouchbaseClient_0.java,0,0,0
24818,4,CouchbaseClient_0.java,0,0,0
24818,5,CouchbaseClient_0.java,0,0,0
24935,1,CouchbaseClient_0.java,0,0,0
24935,2,CouchbaseClient_0.java,0,0,0
24935,3,CouchbaseClient_0.java,0,0,0
25107,1,CouchbaseConnectionFactory_0.java,0,0,0
25107,2,CouchbaseConnectionFactory_0.java,0,0,0
25415,1,ComplexKey_1.java,0,0,0
25415,1,ComplexKey_0.java,0,0,0
25563,1,ClusterManagerTest_0.java,0,1,0
26556,1,BucketTool_4.java,0,0,0
26556,1,BucketTool_4.java,0,0,0
26556,1,ClusterManager_1.java,0,0,0
26557,1,ClusterManager_1.java,0,0,0
26557,1,BucketTool_3.java,0,0,0
26557,1,BucketTool_3.java,0,0,0
26557,2,ClusterManager_1.java,0,0,0
26557,2,BucketTool_3.java,0,0,0
26557,2,BucketTool_3.java,0,0,0
26557,3,ClusterManager_1.java,0,0,0
26557,3,BucketTool_3.java,0,0,0
26557,3,BucketTool_3.java,0,0,0
26557,4,ClusterManager_1.java,0,0,0
26557,4,BucketTool_3.java,0,0,0
26557,4,BucketTool_3.java,0,0,0
27065,1,CouchbaseMemcachedConnection_0.java,0,0,1
27065,2,CouchbaseMemcachedConnection_0_rev_1.java,0,0,1
27065,3,CouchbaseMemcachedConnection_0_rev_1.java,0,0,1
27065,4,CouchbaseMemcachedConnection_0_rev_1.java,0,0,1
27065,5,CouchbaseMemcachedConnection_0_rev_1.java,0,0,1
27065,6,CouchbaseMemcachedConnection_0_rev_1.java,0,0,1
27309,1,ViewNode_0.java,0,0,0
27309,1,Query_1.java,0,0,0
27309,2,ViewNode_0.java,0,0,0
27309,2,Query_1.java,0,0,0
28599,1,FlushTest_1.java,0,1,0
28599,1,FlushTest_1.java,0,1,0
28599,2,FlushTest_1.java,0,1,0
28599,2,FlushTest_1.java,0,1,0
28860,1,CouchbaseConnectionFactoryBuilder_1.java,0,0,0
28860,2,CouchbaseConnectionFactoryBuilder_1,0,0,0
28860,3,CouchbaseConnectionFactoryBuilder_1,0,0,0
