review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
171,1,ResetOperation_0.java,0,0,0
313,1,CheckboxLabelProvider_0.java,0,0,0
313,2,CheckboxLabelProvider_0.java,0,0,0
318,1,GitHistoryPage_0.java,1,0,0
318,1,GitHistoryPage_0.java,1,0,0
319,1,GitHistoryPage_0.java,1,0,0
319,1,GitHistoryPage_0.java,1,0,0
319,2,GitHistoryPage_0.java,1,0,0
319,2,GitHistoryPage_0.java,1,0,0
319,3,GitHistoryPage_0.java,1,0,0
319,3,GitHistoryPage_0.java,1,0,0
326,5,GitLightweightDecorator_3.java,0,0,0
349,1,GitCloneWizardTest_0.java,0,1,0
349,1,GitCloneWizardTest_0.java,0,1,0
358,1,SourceBranchPage_0.java,0,0,1
358,1,RefSpecPage_1.java,0,0,1
359,1,ConfirmationPage_0.java,0,0,1
359,1,ConfirmationPage_0.java,0,0,1
359,1,ConfirmationPage_0.java,0,0,1
371,1,CommitDialog_2.java,0,0,1
395,1,BranchSelectionDialog_0.java,0,0,0
395,1,BranchSelectionDialog_1.java,0,0,0
502,1,RepositoryPropertySource_19.java,0,0,1
502,1,RepositorySelectionPage_4.java,0,0,0
502,1,RepositoriesView_12.java,0,0,0
502,2,RepositoryPropertySource_19.java,0,0,1
502,2,RepositorySelectionPage_4.java,0,0,0
502,2,RepositoriesView_12.java,0,0,0
504,2,RepositoryPropertySource_19.java,0,0,1
504,2,RepositorySelectionPage_4.java,0,0,0
504,2,RepositoriesView_12.java,0,0,0
507,1,BranchAction_10.java,0,0,0
507,1,BranchAction_10.java,0,0,0
508,3,GitTraceLocation_1.java,0,0,0
524,1,CommitDialog_1.java,0,0,0
524,2,CommitDialog_2.java,0,0,0
524,3,CommitDialog_2.java,0,0,0
527,1,CommitAction_1.java,0,0,0
527,2,CommitAction_1.java,0,0,0
534,1,PushWizard_6.java,0,0,1
534,1,RepositorySelectionPage_4.java,0,0,0
534,1,FetchWizard_5.java,0,0,1
534,2,PushWizard_6.java,0,0,1
534,2,RepositoriesView_13.java,0,0,0
534,2,RepositoriesView_13.java,0,0,0
534,2,RepositoriesView_13.java,0,0,0
534,2,RepositorySelectionPage_4.java,0,0,0
534,2,FetchWizard_5.java,0,0,1
534,3,PushWizard_6.java,0,0,1
534,3,RepositorySelectionPage_4.java,0,0,0
534,3,RepositoriesView_18.java,0,0,0
534,3,FetchWizard_5.java,0,0,1
534,4,PushWizard_6.java,0,0,1
534,4,RepositorySelectionPage_4.java,0,0,0
534,4,FetchWizard_5.java,0,0,1
535,1,RepositorySelection_0.java,0,0,0
535,2,RepositorySelection_0.java,0,0,0
544,1,BranchSelectionDialog_4.java,0,0,0
544,2,BranchSelectionDialog_4.java,0,0,0
544,3,BranchSelectionDialog_4,0,0,0
544,4,SWTUtils_4.java,0,0,1
544,4,SWTUtils_4.java,0,0,1
544,5,SWTUtils_4,0,0,1
546,1,CommitAction_15.java,0,0,0
546,1,RepositorySelection_18.java,0,0,0
549,1,CommitAction_0.java,0,0,0
549,2,CommitAction_0.java,0,0,0
556,1,GitHistoryPage_0.java,0,0,0
556,1,GitHistoryPage_0.java,0,0,0
556,1,GitHistoryPage_1.java,0,0,0
556,2,GitHistoryPage_0_rev_1.java,0,0,0
556,2,GitHistoryPage_0_rev_1.java,0,0,0
561,1,GitHistoryPage_0.java,1,0,0
562,1,GitHistoryPage_0.java,1,0,0
577,7,RepositoryAction_1.java,0,0,0
577,8,RepositoryAction_1,0,0,0
577,9,RepositoryAction_1,0,0,0
577,10,RepositoryAction_1,0,0,0
577,11,RepositoryAction_1,0,0,0
577,12,RepositoryAction_1,0,0,0
577,13,RepositoryAction_1,0,0,0
577,14,RepositoryAction_1,0,0,0
577,15,RepositoryAction_1,0,0,0
577,16,RepositoryAction_1,0,0,0
582,1,CommitAction_2.java,0,0,0
607,1,RepositoriesView_1.java,1,0,0
607,2,RepositoriesView_1.java,1,0,0
609,1,RefSpecPage_0.java,1,0,0
609,2,RefSpecPage_0.java,1,0,0
614,2,RepositoriesView_3.java,1,0,0
614,2,RepositoriesView_3.java,1,0,0
614,2,RepositoriesView_3.java,1,0,0
615,1,RepositoriesView_1.java,0,0,0
621,1,RepositoriesView_2.java,0,0,0
621,1,RepositoriesView_2.java,0,0,0
621,1,RepositoriesView_2.java,0,0,0
621,1,RepositoriesViewContentProvider_6.java,0,0,0
621,2,RepositoriesViewContentProvider_6,0,0,0
621,2,RepositoriesView_2_rev_1.java,1,0,0
621,2,RepositoriesView_2_rev_1.java,1,0,0
621,3,RepositoriesViewContentProvider_6,0,0,0
621,3,RepositoriesView_3.java,1,0,0
621,3,RepositoriesView_2_rev_1.java,0,0,0
621,3,RepositoriesView_2_rev_1.java,0,0,0
621,4,RepositoriesViewContentProvider_6,0,0,0
621,4,RepositoriesView_3.java,1,0,0
621,4,RepositoriesView_2_rev_3.java,0,0,0
621,4,RepositoriesView_2_rev_3.java,0,0,0
