review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
3,1,RefLogWriter_1.java,0,0,0
3,2,RefLogWriter_1.java,0,0,0
18,1,ReflogReaderTest_0.java,0,1,1
18,2,ReflogReaderTest_0.java,0,1,1
18,3,ReflogReaderTest_0.java,0,1,1
21,1,LocalDiskRepositoryTestCase_0.java,0,1,1
33,1,Main_0.java,0,0,1
33,2,Main_0.java,0,0,1
33,3,Main_0.java,0,0,1
143,1,Constants_0.java,0,0,0
144,1,DirCache_1.java,0,0,0
144,1,DirCacheEntry_5.java,0,0,0
145,1,AbstractTreeIterator_1.java,0,0,0
151,1,PacketLineInTest_0.java,0,1,0
151,2,PacketLineInTest_0.java,0,1,0
151,3,PacketLineInTest_0.java,0,1,0
151,4,PacketLineInTest_0.java,0,1,0
151,5,PacketLineInTest_0.java,0,1,0
152,1,TemporaryBuffer_3.java,0,0,0
152,2,TemporaryBuffer_3.java,0,0,0
152,3,TemporaryBuffer_3.java,0,0,0
152,4,TemporaryBuffer_3.java,0,0,0
152,5,TemporaryBuffer_3.java,0,0,0
194,1,Repository_20.java,0,0,0
194,1,Repository_20.java,0,0,0
194,2,Repository_20.java,0,0,0
194,2,Repository_20.java,0,0,0
194,3,Repository_20.java,0,0,0
194,3,Repository_20.java,0,0,0
194,4,Repository_20,0,0,0
194,4,Repository_20,0,0,0
194,5,Repository_20,0,0,0
194,5,Repository_20,0,0,0
234,1,RefAdvertiser_0.java,0,0,1
234,2,RefAdvertiser_0.java,0,0,1
234,3,RefAdvertiser_0.java,0,0,1
235,1,Repository_27.java,0,0,0
235,1,Repository_27.java,0,0,0
236,1,Repository_30.java,0,0,0
236,1,Repository_30.java,0,0,0
236,2,Repository_30.java,0,0,0
236,2,Repository_30.java,0,0,0
239,1,RevTagParseTest_0.java,0,1,0
240,1,TransportGitSsh_0.java,0,0,0
293,1,PushProcess_6.java,0,0,0
293,2,PushProcess_6.java,0,0,0
293,3,PushProcess_6.java,0,0,0
293,4,PushProcess_6.java,0,0,0
293,5,PushProcess_6.java,0,0,0
347,1,PushProcess_15.java,0,0,0
347,2,PushProcess_15.java,0,0,0
528,1,Repository_0.java,0,0,0
705,1,WindowCache_1.java,0,0,1
705,2,WindowCache_1.java,0,0,1
706,1,WindowCursor_0.java,0,0,0
706,1,WindowCursor_0.java,0,0,0
707,1,PackFile_1.java,0,0,0
707,1,PackFile_2.java,0,0,0
711,1,PackFile_1.java,0,0,0
759,1,PackFile_1.java,0,0,0
759,1,PackFile_0.java,0,0,0
759,1,PackFile_2.java,1,0,0
771,1,IpLogGenerator_0.java,0,0,0
825,5,NameConflictTreeWalkTest_2.java,0,1,0
825,5,NameConflictTreeWalkTest_2.java,0,1,0
825,5,NameConflictTreeWalkTest_2.java,0,1,0
825,5,NameConflictTreeWalkTest_2.java,0,1,0
836,4,Repository_1.java,0,0,0
851,1,IpLogGenerator_0.java,1,0,0
859,1,Repository_8.java,0,0,0
859,2,Repository_8.java,0,0,0
859,3,Repository_8.java,0,0,0
859,4,Repository_8,0,0,0
859,5,Repository_8,0,0,0
859,6,Repository_8,0,0,0
859,7,FileRepository_0_rev_6.java,0,0,0
860,1,CommitCommand_5.java,0,0,0
860,1,CommitCommand_6.java,1,0,0
860,2,CommitCommand_5.java,0,0,0
860,2,CommitCommand_6.java,1,0,0
860,3,CommitCommand_5.java,0,0,0
860,3,CommitCommand_6.java,1,0,0
860,4,CommitCommand_5.java,0,0,0
860,4,CommitCommand_6.java,1,0,0
860,5,CommitCommand_5.java,0,0,0
860,5,CommitCommand_6.java,1,0,0
860,6,CommitCommand_5.java,0,0,0
860,6,CommitCommand_6.java,1,0,0
860,7,CommitCommand_5.java,0,0,0
860,7,CommitCommand_6.java,1,0,0
890,1,MutableObjectId_3.java,0,0,0
890,1,Tree_5.java,1,0,1
915,1,ObjectDirectory_6.java,0,0,0
915,2,ObjectDirectory_6.java,0,0,0
915,3,ObjectDirectory_6.java,0,0,0
915,4,ObjectDirectory_6.java,0,0,0
922,1,MutableObjectId_0.java,0,0,0
922,2,MutableObjectId_0.java,0,0,0
955,1,TestRepository_0.java,1,1,0
969,1,PackFile_1.java,1,0,0
969,1,PackFile_2.java,1,0,0
973,1,PackFile_1.java,0,0,0
973,1,PackFile_1.java,0,0,0
987,1,BasePackPushConnection_4.java,0,0,0
987,1,BundleWriter_5.java,1,0,0
987,1,UploadPack_7.java,1,0,0
987,1,BundleWriter_6.java,0,0,0
987,1,TestRepository_1.java,1,1,0
987,1,PackWriter_3.java,0,0,0
987,1,TestRepository_2.java,0,1,0
996,1,TreeWalk_2.java,0,0,0
996,1,DirCacheBuilder_0.java,0,0,0
1002,1,DirCacheBuilder_0.java,0,0,0
1004,1,MergeCommand_8.java,1,0,0
1004,1,BundleFetchConnection_16.java,1,0,0
1004,1,BundleFetchConnection_17.java,1,0,0
1004,1,CommitCommand_7.java,0,0,1
1004,1,CommitCommand_7.java,0,0,1
1004,1,InfoRefsServlet_0.java,0,0,0
1004,1,CommitCommand_5.java,0,0,0
1004,1,FetchProcess_19.java,0,0,0
1004,1,BundleFetchConnection_18.java,0,0,0
1004,1,InfoRefsServlet_1.java,1,0,0
1004,1,PushProcess_21.java,1,0,0
1004,1,CommitCommand_6.java,1,0,0
1004,1,FetchProcess_20.java,0,0,0
1043,1,DirCacheEditor_0.java,0,0,0
1048,2,RenameDetector_17.java,0,0,0
1072,1,UnpackedObjectTest_1.java,0,1,0
1072,2,UnpackedObjectTest_1.java,0,1,0
1077,3,RevWalk_1.java,0,0,0
1077,3,RevWalk_1.java,0,0,0
1077,3,RevWalk_0.java,0,0,0
1077,3,RevWalk_0.java,0,0,0
1077,3,RevWalk_0.java,0,0,0
1085,1,DiffFormatter_0.java,0,0,0
1085,1,HunkHeader_3.java,0,0,0
1085,2,HunkHeader_3,0,0,0
1085,2,DiffFormatter_0.java,0,0,0
1085,3,HunkHeader_3,0,0,0
1085,4,HunkHeader_3,0,0,0
1085,5,HunkHeader_3,0,0,0
1101,1,UnpackedObject_6.java,0,0,0
1114,1,DeltaWindow_1.java,1,0,0
1115,1,DeltaCache_1.java,0,0,0
1123,1,RenameDetectorTest_0.java,0,1,0
