review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
10965,1,BindingService_0.java,0,0,0
10965,2,BindingService_0.java,1,0,0
10985,1,BindingService_0.java,1,0,0
11513,5,StackRenderer_2.java,0,0,0
11513,5,StackRenderer_2.java,0,0,1
11513,5,StackRenderer_2.java,0,0,1
11513,5,StackRenderer_2.java,0,0,1
11513,6,StackRenderer_2.java,0,0,0
11513,6,StackRenderer_2.java,0,0,1
11513,6,StackRenderer_2.java,0,0,1
11513,6,StackRenderer_2.java,0,0,1
11513,7,StackRenderer_2.java,0,0,0
11513,7,StackRenderer_2.java,0,0,1
11513,7,StackRenderer_2.java,0,0,1
11513,7,StackRenderer_2.java,0,0,1
11686,4,CommandToModelProcessor_6.java,0,0,1
11686,4,CommandToModelProcessor_6.java,0,0,1
11686,4,CommandToModelProcessor_6.java,0,0,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,CommandToModelProcessor_6.java,0,1,1
11686,4,E4HandlerProxy_11.java,0,0,1
11686,5,CommandToModelProcessor_4.java,0,0,1
11686,5,CommandToModelProcessor_4.java,0,0,1
11686,5,CommandToModelProcessor_4.java,0,0,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,CommandToModelProcessor_4.java,0,1,1
11686,5,E4HandlerProxy_9.java,0,0,1
11686,6,CommandToModelProcessor_4.java,0,0,1
11686,6,CommandToModelProcessor_4.java,0,0,1
11686,6,CommandToModelProcessor_4.java,0,0,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,CommandToModelProcessor_4.java,0,1,1
11686,6,E4HandlerProxy_9.java,0,0,1
11686,7,CommandToModelProcessor_4.java,0,0,1
11686,7,CommandToModelProcessor_4.java,0,0,1
11686,7,CommandToModelProcessor_4.java,0,0,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,CommandToModelProcessor_4.java,0,1,1
11686,7,E4HandlerProxy_6.java,0,0,1
11789,1,StackRenderer_0.java,0,0,1
11789,1,StackRenderer_0.java,0,0,1
11789,1,StackRenderer_0.java,0,0,1
11789,1,StackRenderer_0.java,0,0,1
11927,3,StackRendererTest_2.java,0,1,0
11927,4,StackRendererTest_2.java,0,1,0
11927,5,StackRendererTest_2.java,0,1,0
12027,1,WorkbenchMenuService_2.java,0,0,1
12027,2,WorkbenchMenuService_2.java,0,0,1
12028,3,WorkbenchMenuService_6.java,0,0,1
12028,4,WorkbenchMenuService_6.java,0,0,1
12595,1,WorkbenchPage_0.java,0,0,0
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,1,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_0.java,0,0,0
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,2,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_0.java,0,0,0
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
12595,3,WorkbenchPage_1.java,1,0,1
