review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
25,1,MemcachedConnection_0.java,0,0,0
25,2,MemcachedConnection_0.java,0,0,0
25,3,MemcachedConnection_0_rev_2.java,0,0,0
25,4,MemcachedConnection_0_rev_2.java,0,0,0
569,1,BulkGetFuture_0.java,0,0,0
569,1,BulkGetFuture_1.java,0,0,0
569,1,BulkGetFuture_2.java,0,0,0
571,1,BulkGetFuture_0.java,0,0,0
571,1,BulkGetFuture_1.java,0,0,0
571,1,BulkGetFuture_1.java,0,0,0
571,1,BulkGetFuture_2.java,0,0,0
572,1,BulkGetFuture_0.java,0,0,0
572,1,BulkGetFuture_1.java,0,0,0
572,1,BulkGetFuture_2.java,0,0,0
574,1,BulkGetFuture_0.java,0,0,0
574,1,BulkGetFuture_1.java,0,0,0
574,1,BulkGetFuture_1.java,0,0,0
574,1,BulkGetFuture_2.java,0,0,0
2701,1,MemcachedConnection_1.java,0,0,0
2702,1,MemcachedClient_2.java,0,0,0
2899,1,MemcachedConnection_1.java,0,0,0
2900,1,MemcachedClient_2.java,0,0,0
2904,1,MemcachedConnection_1.java,0,0,0
2905,1,MemcachedClient_2.java,0,0,0
2910,1,MemcachedConnection_1.java,0,0,0
2911,1,MemcachedClient_2.java,0,0,0
5206,1,KetamaNodeLocator_1.java,0,0,0
5206,2,KetamaNodeLocator_1.java,0,0,0
6778,1,BaseGetOpImpl_4.java,0,0,0
6778,1,MemcachedClient_0.java,0,0,0
6778,1,MemcachedClient_0.java,0,0,0
6778,1,MemcachedClient_1.java,0,0,0
6778,2,BaseGetOpImpl_4.java,0,0,0
6778,2,MemcachedClient_0_rev_1.java,0,0,0
6778,2,MemcachedClient_0_rev_1.java,0,0,0
6778,2,MemcachedClient_1_rev_1.java,0,0,0
6778,3,BaseGetOpImpl_4.java,0,0,0
6778,3,MemcachedClient_0_rev_2.java,0,0,0
6778,3,MemcachedClient_0_rev_2.java,0,0,0
6778,3,MemcachedClient_1_rev_2.java,0,0,0
6778,4,BaseGetOpImpl_4.java,0,0,0
6778,4,MemcachedClient_0_rev_2.java,0,0,0
6778,4,MemcachedClient_0_rev_2.java,0,0,0
6778,4,MemcachedClient_1_rev_2.java,0,0,0
6778,5,BaseGetOpImpl_4,0,0,0
6778,5,MemcachedClient_0_rev_2.java,0,0,0
6778,5,MemcachedClient_0_rev_2.java,0,0,0
6778,5,MemcachedClient_1_rev_2.java,0,0,0
6778,6,MemcachedClient_0_rev_5.java,0,0,0
6778,7,MemcachedClient_0_rev_6.java,0,0,0
6813,1,MemcachedClient_0.java,0,0,0
6813,1,MemcachedClient_1.java,0,0,0
6813,2,MemcachedClient_0.java,0,0,0
6813,2,MemcachedClient_1_rev_1.java,0,0,0
6813,3,MemcachedClient_0.java,0,0,0
6813,3,MemcachedClient_1_rev_1.java,0,0,0
6813,4,MemcachedClient_0.java,0,0,0
6813,4,MemcachedClient_1_rev_3.java,0,0,0
6813,5,BaseGetOpImpl_3.java,0,0,1
6813,5,BaseGetOpImpl_3.java,0,0,1
6813,5,MemcachedClient_0_rev_4.java,0,0,0
6813,5,MemcachedClient_1_rev_3.java,0,0,0
6813,6,BaseGetOpImpl_3.java,0,0,1
6813,6,BaseGetOpImpl_3.java,0,0,1
6813,6,MemcachedClient_0_rev_4.java,0,0,0
6813,6,MemcachedClient_1_rev_3.java,0,0,0
6813,7,BaseGetOpImpl_4.java,0,0,1
6813,7,BaseGetOpImpl_4.java,0,0,1
6813,7,MemcachedClient_0_rev_6.java,0,0,0
6813,7,MemcachedClient_1_rev_6.java,0,0,0
6813,7,MemcachedClient_1_rev_6.java,0,0,0
6815,1,MemcachedClient_2.java,0,0,0
6815,2,MemcachedClient_2.java,0,0,0
6815,3,MemcachedClient_2.java,0,0,0
6815,4,MemcachedConnection_6.java,0,0,0
6815,4,MemcachedClient_2.java,0,0,0
6815,5,MemcachedConnection_6.java,0,0,0
6815,5,MemcachedClient_2.java,0,0,0
6823,1,MemcachedClient_0.java,0,0,0
6823,2,MemcachedClient_0.java,0,0,0
6823,3,MemcachedClient_0.java,0,0,0
6824,1,ConfigurationProviderHTTP_0.java,0,0,1
6824,2,ConfigurationProviderHTTP_0.java,0,0,1
6824,3,ConfigurationProviderHTTP_0.java,0,0,1
6824,4,ConfigurationProviderHTTP_0.java,0,0,1
6824,5,ConfigurationProviderHTTP_0.java,0,0,1
6824,6,ConfigurationProviderHTTP_0.java,0,0,1
6824,7,ConfigurationProviderHTTP_0.java,0,0,1
6824,8,ConfigurationProviderHTTP_0.java,0,0,1
6827,1,ConfigurationProviderHTTP_0.java,0,0,0
6847,1,MemcachedClient_0.java,0,0,0
6847,1,MemcachedClient_0.java,0,0,0
6847,1,MemcachedClient_1.java,0,0,0
6849,1,MemcachedClient_0.java,0,0,0
6849,2,MemcachedClient_0.java,0,0,0
6849,3,MemcachedClient_0.java,0,0,0
6849,4,MemcachedClient_0.java,0,0,0
6864,1,ConfigurationProviderHTTP_0.java,0,0,1
6867,1,MemcachedClient_0.java,0,0,0
6880,1,MemcachedClient_0.java,0,0,0
7048,1,MemcachedClient_0.java,0,0,0
7048,2,MemcachedClient_0.java,0,0,0
7048,3,MemcachedClient_0.java,0,0,0
7048,4,MemcachedClient_0.java,0,0,0
7048,5,MemcachedClient_0.java,0,0,0
7048,6,MemcachedClient_0.java,0,0,0
7048,7,MembaseClient_0.java,0,0,1
7048,8,MembaseClient_0_rev_7.java,0,0,1
7101,1,TCPMemcachedNodeImpl_0.java,0,0,1
7101,1,TCPMemcachedNodeImpl_0.java,0,0,1
7646,1,ProtocolBaseCase_0.java,1,0,0
7646,2,ProtocolBaseCase_0_rev_1.java,1,0,0
7859,1,BinaryClientTest_3.java,0,1,1
7859,1,MemcachedClient_2.java,0,0,0
7859,2,BinaryClientTest_3,0,1,1
7859,2,MemcachedClient_2,0,0,0
7859,3,BinaryClientTest_5_rev_2.java,0,1,1
7859,3,MemcachedClient_2,0,0,0
7859,4,BinaryClientTest_5_rev_2.java,0,1,1
7859,4,MemcachedClient_2,0,0,0
7859,5,MemcachedClient_2,0,0,1
7859,5,MemcachedClient_2,0,0,1
7859,5,BinaryClientTest_5_rev_2.java,0,1,1
7859,6,MemcachedClient_2,0,0,1
7859,6,MemcachedClient_2,0,0,1
7859,6,ProtocolBaseCase_8.java,0,0,0
7859,6,BinaryClientTest_6_rev_5.java,0,1,1
7859,7,BinaryClientTest_6_rev_5.java,0,1,1
7859,7,ProtocolBaseCase_8,0,0,0
7859,7,MemcachedClient_2,0,0,1
7859,7,MemcachedClient_2,0,0,1
7859,8,BinaryClientTest_6_rev_5.java,0,1,1
7859,8,ProtocolBaseCase_8,0,0,0
7859,8,MemcachedClient_2,0,0,1
7859,8,MemcachedClient_2,0,0,1
7898,1,TapClient_0.java,0,0,0
7898,1,TapClient_0.java,0,0,0
7898,2,TapClient_0.java,0,0,0
7898,2,TapClient_0.java,0,0,0
7898,3,TapClient_0.java,0,0,0
7898,3,TapClient_0.java,0,0,0
7898,4,TapClient_0.java,0,0,0
7898,4,TapClient_0.java,0,0,0
7936,1,TapTest_0.java,0,1,0
7936,1,TapTest_0.java,0,1,1
7936,1,TapTest_1.java,1,1,0
7936,2,TapTest_0_rev_1.java,0,1,0
7936,2,TapTest_0_rev_1.java,0,1,1
7936,2,TapTest_1.java,0,1,0
7936,3,TapTest_0_rev_1.java,0,1,0
7936,3,TapTest_0_rev_1.java,0,1,1
7936,3,TapTest_1_rev_2.java,0,1,0
7969,1,BinaryClientTest_5.java,0,1,1
7969,1,ProtocolBaseCase_7.java,0,0,0
7969,1,MemcachedClient_4.java,0,0,1
7969,1,MemcachedClient_4.java,0,0,1
7969,2,BinaryClientTest_5.java,0,1,1
7969,2,ProtocolBaseCase_7_rev_1.java,0,0,0
7969,2,MemcachedClient_4.java,0,0,1
7969,2,MemcachedClient_4.java,0,0,1
8239,1,BinaryClientTest_5.java,0,1,1
8239,1,ProtocolBaseCase_7.java,0,0,0
8239,1,ConnectionFactoryBuilder_0.java,0,0,0
8239,1,MemcachedClient_4.java,0,0,1
8239,1,MemcachedClient_4.java,0,0,1
8239,2,BinaryClientTest_5.java,0,1,1
8239,2,ProtocolBaseCase_7.java,0,0,0
8239,2,MemcachedClient_4.java,0,0,1
8239,2,MemcachedClient_4.java,0,0,1
8478,1,CouchbaseConnection_3.java,0,0,1
8478,1,CouchbaseClient_0.java,0,0,1
8478,1,CouchbaseConnection_2.java,0,0,1
8478,2,MemcachedConnection_5.java,0,0,0
8478,2,CouchbaseConnection_3.java,0,0,1
8478,2,CouchbaseClient_0.java,0,0,1
8478,2,CouchbaseConnection_2.java,0,0,1
8594,1,CouchbaseClient_0.java,0,0,0
8594,1,CouchbaseClient_0.java,0,0,0
8595,1,CouchbaseClientTest_0.java,0,1,1
8595,2,CouchbaseClientTest_0.java,0,1,1
8595,3,CouchbaseClientTest_0.java,0,1,1
8595,4,CouchbaseClientTest_0.java,0,1,1
8595,5,CouchbaseClientTest_0.java,0,1,1
8643,1,KetamaNodeLocatorTest_326.java,0,1,0
8643,1,AddrUtilTest_281.java,0,1,0
8643,1,AddrUtilTest_281.java,0,1,0
8643,1,AddrUtilTest_281.java,0,1,0
8643,1,ViewOperationImpl_166.java,0,0,0
8643,1,ViewOperationImpl_166.java,0,0,1
8643,1,BinaryClientTest_301.java,0,1,1
8643,1,BinaryClientTest_301.java,0,1,1
8643,1,BinaryClientTest_301.java,0,1,1
8643,1,MultiGetOperationImpl_131.java,0,0,0
8643,1,MultiGetOperationImpl_131.java,0,0,1
8643,1,DefaultConfig_262.java,0,0,0
8643,1,MultiNodeFailureTest_429.java,0,1,0
8643,1,KetamaNodeLocatorTest_323.java,0,1,0
8643,1,ResponseMessage_179.java,0,0,0
8643,1,BucketMonitorPipelineFactory_218.java,0,0,0
8643,1,VBucketNodeLocatorTest_407.java,0,1,0
8643,1,VBucketNodeLocator_245.java,0,0,0
8643,1,DefaultKetamaNodeLocatorConfiguration_210.java,0,0,0
8643,1,LoaderTest_423.java,0,1,0
8643,1,LoaderTest_423.java,0,1,1
8643,1,LoaderTest_423.java,0,1,1
8643,1,WhalinTranscoder_207.java,0,0,0
8643,1,WhalinTranscoder_207.java,0,0,1
8643,1,TranscoderUtilsTest_396.java,0,1,0
8643,1,TranscoderUtilsTest_396.java,0,1,0
8643,1,TranscoderUtilsTest_396.java,0,1,0
8643,1,TranscoderUtilsTest_396.java,0,1,0
8643,1,ConfigurationProviderHTTP_238.java,0,0,0
8643,1,MultiGetOperationImpl_130.java,0,0,0
8643,1,BaseGetOpImpl_102.java,0,0,0
8643,1,BaseStoreOperationImpl_105.java,0,0,0
8643,1,BaseStoreOperationImpl_105.java,0,0,1
8643,1,ViewOperationImpl_167.java,0,0,0
8643,1,ViewOperationImpl_167.java,0,0,1
8643,1,LoaderTest_425.java,0,1,0
8643,1,LoaderTest_425.java,0,1,1
8643,1,ResponseMessage_181.java,0,0,0
8643,1,TestingClient_373.java,0,1,0
8643,1,ConfigurationParserJSON_260.java,0,0,0
8643,1,ViewsOperationImpl_172.java,0,0,0
8643,1,ViewsOperationImpl_172.java,0,0,1
8643,1,ViewOperationImpl_168.java,0,0,0
8643,1,Bucket_246.java,0,0,0
8643,1,BinaryMemcachedNodeImpl_121.java,0,0,0
8643,1,KetamaNodeLocatorTest_325.java,0,1,0
8643,1,TapMessagePrinter_48.java,0,0,0
8643,1,VBucketNodeLocatorTest_408.java,0,1,0
8643,1,ReducedOperationImpl_158.java,0,0,0
8643,1,ReducedOperationImpl_158.java,0,0,1
8643,1,ReducedOperationImpl_158.java,0,0,1
8643,1,SunLogger_67.java,0,0,0
8643,1,BinaryClientTest_300.java,0,1,0
8643,1,BinaryClientTest_300.java,0,1,1
8643,1,BinaryClientTest_300.java,0,1,1
8643,1,BinaryClientTest_300.java,0,1,1
8643,1,BinaryClientTest_300.java,0,1,1
8643,1,ConfigurationProviderHTTP_234.java,0,0,0
8643,1,TapBucketTest_438.java,0,1,0
8643,1,NoDocsOperationImpl_156.java,0,0,0
8643,1,NoDocsOperationImpl_156.java,0,0,1
8643,1,NoDocsOperationImpl_156.java,0,0,1
8643,1,ConfigurationProviderHTTP_233.java,0,0,0
8643,1,CASMutatorTest_305.java,0,1,0
8643,1,ObserverTest_338.java,0,1,0
8643,1,OperatonTest_386.java,0,1,0
8643,1,OperatonTest_386.java,0,1,0
8643,1,KetamaIterator_25.java,0,0,0
8643,1,KetamaNodeLocator_29.java,0,0,0
8643,1,ViewOperationImpl_165.java,0,0,0
8643,1,BaseGetOpImpl_100.java,0,0,0
8643,1,ConfigurationProviderHTTP_239.java,0,0,0
8643,1,ConfigurationParserJSONTest_411.java,0,1,0
8643,1,ClientBaseCase_314.java,0,0,0
8643,1,OperationExceptionTest_383.java,0,1,0
8643,1,ConfigurationParserJSON_256.java,0,0,0
8643,1,ResponseMessage_182.java,0,0,0
8643,1,RedistributeFailureModeTest_343.java,0,1,0
8643,1,RedistributeFailureModeTest_343.java,0,1,1
8643,1,RedistributeFailureModeTest_343.java,0,1,1
8643,1,RedistributeFailureModeTest_343.java,0,1,1
8643,1,RedistributeFailureModeTest_343.java,0,1,1
8643,1,RedistributeFailureModeTest_343.java,0,1,1
8643,1,BaseOperationFactory_84.java,0,0,0
8643,1,BucketMonitor_214.java,0,0,0
8643,1,AddrUtil_1.java,0,0,0
8643,1,ProxyCallback_91.java,0,0,0
8643,1,ViewsOperationImpl_174.java,0,0,0
8643,1,ViewsOperationImpl_174.java,0,0,1
8643,1,ResponseMessage_184.java,0,0,0
8643,1,NoDocsOperationImpl_154.java,0,0,0
8643,1,NoDocsOperationImpl_154.java,0,0,1
8643,1,NoDocsOperationImpl_154.java,0,0,1
8643,1,AddrUtilTest_284.java,0,1,0
8643,1,KetamaNodeLocatorTest_327.java,0,1,0
8643,1,BinaryMemcachedNodeImpl_119.java,0,0,0
8643,1,BinaryMemcachedNodeImpl_119.java,0,0,0
8643,1,LongTranscoder_196.java,0,0,0
8643,1,CASMutatorTest_307.java,0,1,0
8643,1,ConfigurationProviderHTTP_232.java,0,0,0
8643,1,HashAlgorithm_22.java,0,0,0
8643,1,ConfigurationProviderHTTP_236.java,0,0,0
8643,1,TimeoutTest_359.java,0,1,0
8643,1,TimeoutTest_359.java,0,1,1
8643,1,DefaultConfig_263.java,0,0,0
8643,1,DefaultConfig_263.java,0,0,1
8643,1,BaseGetOpImpl_99.java,0,0,0
8643,1,TimeoutTest_358.java,0,1,0
8643,1,TimeoutTest_358.java,0,1,1
8643,1,SyncThread_56.java,0,0,0
8643,1,CASMutatorTest_306.java,0,1,0
8643,1,CheckedOperationTimeoutExceptionTest_377.java,0,1,0
8643,1,ConfigurationParserJSONTest_410.java,0,1,0
8643,1,SunLogger_65.java,0,0,0
8643,1,MutatorOperationImpl_134.java,0,0,0
8643,1,CheckedOperationTimeoutExceptionTest_374.java,0,1,0
8643,1,CheckedOperationTimeoutExceptionTest_374.java,0,1,0
8643,1,TranscoderUtils_204.java,0,0,0
8643,1,AddrUtilTest_283.java,0,1,0
8643,1,TranscodeServiceTest_392.java,0,1,0
8643,1,ConfigurationProviderHTTP_240.java,0,0,0
8643,1,AddrUtil_0.java,0,0,0
8643,1,OperationImpl_111.java,0,0,0
8643,1,BinaryClientTest_294.java,0,1,0
8643,1,BinaryClientTest_294.java,0,1,0
8643,1,BinaryClientTest_294.java,0,1,0
8643,1,BinaryClientTest_294.java,0,1,0
8643,1,ResponseMessage_187.java,0,0,0
8643,1,OperationImpl_113.java,0,0,0
8643,1,SASLConnectReconnect_431.java,0,0,0
8643,1,BulkGetFuture_73.java,0,0,0
8643,1,BucketUpdateResponseHandler_222.java,0,0,0
8643,1,MultiGetOperationImpl_129.java,0,0,0
8643,1,ViewsOperationImpl_173.java,0,0,0
8643,1,ResponseMessage_180.java,0,0,0
8643,1,AddrUtilTest_277.java,0,1,0
8643,1,AddrUtilTest_277.java,0,1,0
8643,1,KetamaNodeLocatorTest_329.java,0,1,0
8643,1,SASLConnectReconnect_435.java,0,0,0
8643,1,KetamaIterator_24.java,0,0,0
8643,1,ConfigurationProviderHTTP_235.java,0,0,0
8643,1,RowWithDocs_163.java,0,0,0
8643,1,TranscoderUtilsTest_393.java,0,1,0
8643,1,TranscoderUtilsTest_393.java,0,1,0
8643,1,TranscoderUtilsTest_393.java,0,1,0
8643,1,TranscoderUtilsTest_393.java,0,1,0
8643,1,DefaultConfigFactory_265.java,0,0,0
8643,1,TimeoutTest_360.java,0,1,0
8643,1,DoLotsOfSets_319.java,0,0,0
8643,1,BinaryClientTest_296.java,0,1,0
8643,1,BinaryClientTest_296.java,0,1,0
8643,1,BinaryClientTest_296.java,0,1,0
8643,1,BinaryClientTest_296.java,0,1,0
8643,1,BaseStoreOperationImpl_104.java,0,0,0
8643,1,SerializingTranscoder_200.java,0,0,0
8643,1,SerializingTranscoder_200.java,0,0,1
8643,1,HashAlgorithm_21.java,0,0,0
8643,1,SerializingTranscoder_198.java,0,0,0
8643,1,TapBucketTest_439.java,0,1,0
8643,1,TranscoderUtils_203.java,0,0,0
8643,1,CheckedOperationTimeoutExceptionTest_375.java,0,1,0
8643,1,CheckedOperationTimeoutExceptionTest_375.java,0,1,0
8643,1,CheckedOperationTimeoutExceptionTest_375.java,0,1,0
8643,1,BaseGetOpImpl_101.java,0,0,0
8643,1,LoaderTest_424.java,0,1,0
8643,1,TimeoutNowriteTest_355.java,0,1,0
8643,1,TimeoutNowriteTest_355.java,0,1,1
8643,1,AsciiIPV6ClientTest_291.java,0,1,1
8643,1,AsciiIPV6ClientTest_291.java,0,1,1
8643,1,BinaryMemcachedNodeImpl_118.java,0,0,0
8643,1,SyncThread_59.java,0,0,0
8643,1,Util_193.java,0,0,0
8643,1,ResponseMessage_186.java,0,0,0
8643,1,CheckedOperationTimeoutExceptionTest_378.java,0,1,0
8643,1,SingleElementInfiniteIteratorTest_379.java,0,1,0
8643,1,MutatorOperationImpl_135.java,0,0,0
8643,1,BinaryClientTest_297.java,0,1,0
8643,1,BinaryClientTest_297.java,0,1,0
8643,1,BinaryClientTest_297.java,0,1,0
8643,1,BinaryClientTest_297.java,0,1,0
8643,1,AddrUtilTest_278.java,0,1,0
8643,1,AddrUtilTest_278.java,0,1,0
